id_puerto;nom_puerto;abreviatura_pais;geometry
BRPNG;Paranagua;BRA;POINT (-48.50799999999998 -25.50746613199999)
PEEEN;Eten;PER;POINT (-79.86329999999998 -6.930766131999974)
ISSKA;Skagastrond;ISL;POINT (-20.3288 65.82993386999999)
GBHRW;Harwich;GBR;POINT (1.274099999999976 51.93653386800003)
FRCEQ;Cannes;FRA;POINT (7.026700000000005 43.549633868)
SIKOP;Koper;SVN;POINT (13.74450000000002 45.543533868)
ITPSS;Porto Santo Stefano;ITA;POINT (11.0933 42.43433386800001)
HRPUY;Pula;HRV;POINT (13.84089999999998 44.87203386800002)
FRPOX;Pontrieux;FRA;POINT (-3.171299999999974 48.69673386800002)
GBTRU;Truro;GBR;POINT (-5.045399999999972 50.25993386800002)
GBPAR;Par;GBR;POINT (-4.699999999999989 50.34933386799997)
GBDEX;Deal;GBR;POINT (1.397899999999993 51.20893386799997)
GBCDF;Cardiff;GBR;POINT (-3.172900000000027 51.46303386800002)
GBAVO;Avonmouth;GBR;POINT (-2.718200000000024 51.499833868)
